Time [z = 49.990 mm: Temperature 1] ((min)),Temperature [z = 49.990 mm: Temperature 1] ((C)),Time [z = 49.521 mm: Temperature 2] ((min)),Temperature [z = 49.521 mm: Temperature 2] ((C)),Time [z = 48.125 mm: Temperature 3] ((min)),Temperature [z = 48.125 mm: Temperature 3] ((C)),Time [z = 46.250 mm: Temperature 4] ((min)),Temperature [z = 46.250 mm: Temperature 4] ((C)),Time [z = 44.375 mm: Temperature 5] ((min)),Temperature [z = 44.375 mm: Temperature 5] ((C)),Time [z = 42.500 mm: Temperature 6] ((min)),Temperature [z = 42.500 mm: Temperature 6] ((C)),Time [z = 40.625 mm: Temperature 7] ((min)),Temperature [z = 40.625 mm: Temperature 7] ((C)),Time [z = 38.750 mm: Temperature 8] ((min)),Temperature [z = 38.750 mm: Temperature 8] ((C)),Time [z = 36.875 mm: Temperature 9] ((min)),Temperature [z = 36.875 mm: Temperature 9] ((C)),Time [z = 35.000 mm: Temperature 10] ((min)),Temperature [z = 35.000 mm: Temperature 10] ((C)),Time [z = 33.125 mm: Temperature 11] ((min)),Temperature [z = 33.125 mm: Temperature 11] ((C)),Time [z = 31.250 mm: Temperature 12] ((min)),Temperature [z = 31.250 mm: Temperature 12] ((C)),Time [z = 29.375 mm: Temperature 13] ((min)),Temperature [z = 29.375 mm: Temperature 13] ((C)),Time [z = 27.500 mm: Temperature 14] ((min)),Temperature [z = 27.500 mm: Temperature 14] ((C)),Time [z = 25.625 mm: Temperature 15] ((min)),Temperature [z = 25.625 mm: Temperature 15] ((C)),Time [z = 23.750 mm: Temperature 16] ((min)),Temperature [z = 23.750 mm: Temperature 16] ((C)),Time [z = 21.875 mm: Temperature 17] ((min)),Temperature [z = 21.875 mm: Temperature 17] ((C)),Time [z = 20.479 mm: Temperature 18] ((min)),Temperature [z = 20.479 mm: Temperature 18] ((C)),Time [z = 20.010 mm: Temperature 19] ((min)),Temperature [z = 20.010 mm: Temperature 19] ((C)),Time [z = 19.990 mm: Temperature 20] ((min)),Temperature [z = 19.990 mm: Temperature 20] ((C)),Time [z = 19.573 mm: Temperature 21] ((min)),Temperature [z = 19.573 mm: Temperature 21] ((C)),Time [z = 18.333 mm: Temperature 22] ((min)),Temperature [z = 18.333 mm: Temperature 22] ((C)),Time [z = 16.667 mm: Temperature 23] ((min)),Temperature [z = 16.667 mm: Temperature 23] ((C)),Time [z = 15.000 mm: Temperature 24] ((min)),Temperature [z = 15.000 mm: Temperature 24] ((C)),Time [z = 13.333 mm: Temperature 25] ((min)),Temperature [z = 13.333 mm: Temperature 25] ((C)),Time [z = 11.667 mm: Temperature 26] ((min)),Temperature [z = 11.667 mm: Temperature 26] ((C)),Time [z = 10.000 mm: Temperature 27] ((min)),Temperature [z = 10.000 mm: Temperature 27] ((C)),Time [z = 8.333 mm: Temperature 28] ((min)),Temperature [z = 8.333 mm: Temperature 28] ((C)),Time [z = 6.667 mm: Temperature 29] ((min)),Temperature [z = 6.667 mm: Temperature 29] ((C)),Time [z = 5.000 mm: Temperature 30] ((min)),Temperature [z = 5.000 mm: Temperature 30] ((C)),Time [z = 3.333 mm: Temperature 31] ((min)),Temperature [z = 3.333 mm: Temperature 31] ((C)),Time [z = 1.667 mm: Temperature 32] ((min)),Temperature [z = 1.667 mm: Temperature 32] ((C)),Time [z = 0.427 mm: Temperature 33] ((min)),Temperature [z = 0.427 mm: Temperature 33] ((C)),Time [z = 0.010 mm: Temperature 34] ((min)),Temperature [z = 0.010 mm: Temperature 34] ((C))
0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20
0.2554225,20.2547509,0.2554225,20.1518857,0.2554225,20.0747273,0.2554225,20.023766,0.2554225,20.0068818,0.2554225,20.0018307,0.2554225,20.0004582,0.2554225,20.0001084,0.2554225,20.0000248,0.2554225,20.0000055,0.2554225,20.0000013,0.2554225,20.0000005,0.2554225,20.0000006,0.2554225,20.000002,0.2554225,20.0000085,0.2554225,20.0000366,0.2554225,20.0001527,0.2554225,20.0003795,0.2554225,20.0005134,0.2554225,20.0005173,0.2554225,20.0005296,0.2554225,20.0005993,0.2554225,20.0007687,0.2554225,20.0010554,0.2554225,20.0014956,0.2554225,20.0021424,0.2554225,20.0030694,0.2554225,20.0043758,0.2554225,20.0061902,0.2554225,20.008682,0.2554225,20.0120458,0.2554225,20.0165855,0.2554225,20.0205634,0.2554225,20.0359487
0.49082175,20.5741697,0.49082175,20.3891636,0.49082175,20.2289504,0.49082175,20.0998587,0.49082175,20.0404948,0.49082175,20.0152825,0.49082175,20.0054086,0.49082175,20.001803,0.49082175,20.0005703,0.49082175,20.0001724,0.49082175,20.0000511,0.49082175,20.0000186,0.49082175,20.00002,0.49082175,20.0000561,0.49082175,20.0001809,0.49082175,20.0005646,0.49082175,20.0016719,0.49082175,20.0033769,0.49082175,20.004258,0.49082175,20.004282,0.49082175,20.0043492,0.49082175,20.0046901,0.49082175,20.0054568,0.49082175,20.0066617,0.49082175,20.0083747,0.49082175,20.0106907,0.49082175,20.0137312,0.49082175,20.0176472,0.49082175,20.0226183,0.49082175,20.0288658,0.49082175,20.0366141,0.49082175,20.0462423,0.49082175,20.0542251,0.49082175,20.083541
0.7215435,20.9275896,0.7215435,20.6696468,0.7215435,20.430459,0.7215435,20.2185454,0.7215435,20.1048876,0.7215435,20.0475233,0.7215435,20.0203832,0.7215435,20.0082895,0.7215435,20.0032078,0.7215435,20.0011877,0.7215435,20.0004324,0.7215435,20.0001859,0.7215435,20.0001756,0.7215435,20.0003774,0.7215435,20.0009786,0.7215435,20.0024969,0.7215435,20.0060819,0.7215435,20.0109173,0.7215435,20.0132338,0.7215435,20.0132946,0.7215435,20.0134543,0.7215435,20.0142123,0.7215435,20.0158386,0.7215435,20.0182996,0.7215435,20.021682,0.7215435,20.0260997,0.7215435,20.0316946,0.7215435,20.0386383,0.7215435,20.0471292,0.7215435,20.0574088,0.7215435,20.0697037,0.7215435,20.0844449,0.7215435,20.0963708,0.7215435,20.139163
0.99019025,21.3739506,0.99019025,21.0378573,0.99019025,20.710904,0.99019025,20.401422,0.99019025,20.217002,0.99019025,20.1121047,0.99019025,20.0553927,0.99019025,20.0261877,0.99019025,20.011868,0.99019025,20.0051847,0.99019025,20.0022475,0.99019025,20.0011213,0.99019025,20.0009774,0.99019025,20.0016599,0.99019025,20.0035615,0.99019025,20.007744,0.99019025,20.0162874,0.99019025,20.0267436,0.99019025,20.0314793,0.99019025,20.0316003,0.99019025,20.0319038,0.99019025,20.0332695,0.99019025,20.036088,0.99019025,20.0402327,0.99019025,20.0458001,0.99019025,20.0529142,0.99019025,20.0617272,0.99019025,20.0724207,0.99019025,20.0852007,0.99019025,20.1003192,0.99019025,20.1179947,0.99019025,20.1387097,0.99019025,20.155204,0.99019025,20.2134942
1.243587,21.8208331,1.243587,21.416141,1.243587,21.0103459,1.243587,20.6099456,1.243587,20.3553178,1.243587,20.1993888,1.243587,20.1078093,1.243587,20.0561671,1.243587,20.0282401,1.243587,20.0137906,1.243587,20.0067375,1.243587,20.0037221,1.243587,20.003135,1.243587,20.0045509,1.243587,20.0085098,1.243587,20.0165865,1.243587,20.0317037,1.243587,20.0491152,1.243587,20.0567245,1.243587,20.0569157,1.243587,20.0573816,1.243587,20.0594026,1.243587,20.0634606,1.243587,20.0693116,1.243587,20.077057,1.243587,20.0868261,1.243587,20.0987752,1.243587,20.1130901,1.243587,20.1299788,1.243587,20.1496986,1.243587,20.1724565,1.243587,20.19878,1.243587,20.2195461,1.243587,20.2922775
1.456337,22.2112176,1.456337,21.7519644,1.456337,21.2825868,1.456337,20.8072513,1.456337,20.4925838,1.456337,20.2909397,1.456337,20.1663416,1.456337,20.0920562,1.456337,20.049396,1.456337,20.0258825,1.456337,20.0136397,1.456337,20.0080343,1.456337,20.0066848,1.456337,20.0088373,1.456337,20.0150807,1.456337,20.0273553,1.456337,20.0492073,1.456337,20.0734723,1.456337,20.083847,1.456337,20.084105,1.456337,20.0847226,1.456337,20.0873385,1.456337,20.0924952,1.456337,20.0998328,1.456337,20.1094558,1.456337,20.1214958,1.456337,20.1361114,1.456337,20.15349,1.456337,20.1738398,1.456337,20.197421,1.456337,20.22443,1.456337,20.2554309,1.456337,20.2797529,1.456337,20.3644848
1.70915875,22.6905315,1.70915875,22.169538,1.70915875,21.627453,1.70915875,21.0650149,1.70915875,20.6786117,1.70915875,20.420422,1.70915875,20.25325,1.70915875,20.1483375,1.70915875,20.084659,1.70915875,20.0474536,1.70915875,20.026888,1.70915875,20.0168391,1.70915875,20.0139485,1.70915875,20.0169784,1.70915875,20.0264725,1.70915875,20.0446939,1.70915875,20.0757987,1.70915875,20.1092335,1.70915875,20.1232464,1.70915875,20.1235918,1.70915875,20.1244045,1.70915875,20.1277701,1.70915875,20.134285,1.70915875,20.1434349,1.70915875,20.1553269,1.70915875,20.1700945,1.70915875,20.1878977,1.70915875,20.208925,1.70915875,20.233384,1.70915875,20.2615375,1.70915875,20.2935686,1.70915875,20.3300841,1.70915875,20.358593,1.70915875,20.4574389
1.9228805,23.1066154,1.9228805,22.5356318,1.9228805,21.9342029,1.9228805,21.2997822,1.9228805,20.8528539,1.9228805,20.5457014,1.9228805,20.3405037,1.9228805,20.207245,1.9228805,20.1233304,1.9228805,20.0723728,1.9228805,20.0430663,1.9228805,20.0281047,1.9228805,20.0233026,1.9228805,20.0269641,1.9228805,20.0395174,1.9228805,20.0634034,1.9228805,20.1031809,1.9228805,20.1450655,1.9228805,20.1623925,1.9228805,20.1628169,1.9228805,20.1638048,1.9228805,20.1678321,1.9228805,20.1755286,1.9228805,20.1862381,1.9228805,20.2000691,1.9228805,20.2171565,1.9228805,20.2376607,1.9228805,20.2617707,1.9228805,20.2896931,1.9228805,20.3216926,1.9228805,20.357941,1.9228805,20.3990806,1.9228805,20.4310968,1.9228805,20.541756
2.17627725,23.6114477,2.17627725,22.9835276,2.17627725,22.3140644,2.17627725,21.5962823,2.17627725,21.0780788,2.17627725,20.7120507,2.17627725,20.4599769,2.17627725,20.290763,2.17627725,20.1803558,2.17627725,20.1107709,2.17627725,20.0691871,2.17627725,20.0470226,2.17627725,20.0391508,2.17627725,20.0433047,2.17627725,20.0597017,2.17627725,20.090886,2.17627725,20.1417643,2.17627725,20.1943449,2.17627725,20.2158324,2.17627725,20.2163558,2.17627725,20.2175609,2.17627725,20.2223994,2.17627725,20.2315276,2.17627725,20.2441099,2.17627725,20.2602564,2.17627725,20.2801026,2.17627725,20.3038093,2.17627725,20.3315656,2.17627725,20.3635765,2.17627725,20.4001086,2.17627725,20.4413202,2.17627725,20.4878952,2.17627725,20.5240309,2.17627725,20.648556
