Time [z = 50.000 mm: Temperature] ((min)),Temperature [z = 50.000 mm: Temperature] ((C)),Time [z = 49.990 mm: Temperature 1] ((min)),Temperature [z = 49.990 mm: Temperature 1] ((C)),Time [z = 49.521 mm: Temperature 2] ((min)),Temperature [z = 49.521 mm: Temperature 2] ((C)),Time [z = 48.125 mm: Temperature 3] ((min)),Temperature [z = 48.125 mm: Temperature 3] ((C)),Time [z = 46.250 mm: Temperature 4] ((min)),Temperature [z = 46.250 mm: Temperature 4] ((C)),Time [z = 44.375 mm: Temperature 5] ((min)),Temperature [z = 44.375 mm: Temperature 5] ((C)),Time [z = 42.500 mm: Temperature 6] ((min)),Temperature [z = 42.500 mm: Temperature 6] ((C)),Time [z = 40.625 mm: Temperature 7] ((min)),Temperature [z = 40.625 mm: Temperature 7] ((C)),Time [z = 38.750 mm: Temperature 8] ((min)),Temperature [z = 38.750 mm: Temperature 8] ((C)),Time [z = 36.875 mm: Temperature 9] ((min)),Temperature [z = 36.875 mm: Temperature 9] ((C)),Time [z = 35.000 mm: Temperature 10] ((min)),Temperature [z = 35.000 mm: Temperature 10] ((C)),Time [z = 33.125 mm: Temperature 11] ((min)),Temperature [z = 33.125 mm: Temperature 11] ((C)),Time [z = 31.250 mm: Temperature 12] ((min)),Temperature [z = 31.250 mm: Temperature 12] ((C)),Time [z = 29.375 mm: Temperature 13] ((min)),Temperature [z = 29.375 mm: Temperature 13] ((C)),Time [z = 27.500 mm: Temperature 14] ((min)),Temperature [z = 27.500 mm: Temperature 14] ((C)),Time [z = 25.625 mm: Temperature 15] ((min)),Temperature [z = 25.625 mm: Temperature 15] ((C)),Time [z = 23.750 mm: Temperature 16] ((min)),Temperature [z = 23.750 mm: Temperature 16] ((C)),Time [z = 21.875 mm: Temperature 17] ((min)),Temperature [z = 21.875 mm: Temperature 17] ((C)),Time [z = 20.479 mm: Temperature 18] ((min)),Temperature [z = 20.479 mm: Temperature 18] ((C)),Time [z = 20.010 mm: Temperature 19] ((min)),Temperature [z = 20.010 mm: Temperature 19] ((C)),Time [z = 19.990 mm: Temperature 20] ((min)),Temperature [z = 19.990 mm: Temperature 20] ((C)),Time [z = 19.573 mm: Temperature 21] ((min)),Temperature [z = 19.573 mm: Temperature 21] ((C)),Time [z = 18.333 mm: Temperature 22] ((min)),Temperature [z = 18.333 mm: Temperature 22] ((C)),Time [z = 16.667 mm: Temperature 23] ((min)),Temperature [z = 16.667 mm: Temperature 23] ((C)),Time [z = 15.000 mm: Temperature 24] ((min)),Temperature [z = 15.000 mm: Temperature 24] ((C)),Time [z = 13.333 mm: Temperature 25] ((min)),Temperature [z = 13.333 mm: Temperature 25] ((C)),Time [z = 11.667 mm: Temperature 26] ((min)),Temperature [z = 11.667 mm: Temperature 26] ((C)),Time [z = 10.000 mm: Temperature 27] ((min)),Temperature [z = 10.000 mm: Temperature 27] ((C)),Time [z = 8.333 mm: Temperature 28] ((min)),Temperature [z = 8.333 mm: Temperature 28] ((C)),Time [z = 6.667 mm: Temperature 29] ((min)),Temperature [z = 6.667 mm: Temperature 29] ((C)),Time [z = 5.000 mm: Temperature 30] ((min)),Temperature [z = 5.000 mm: Temperature 30] ((C)),Time [z = 3.333 mm: Temperature 31] ((min)),Temperature [z = 3.333 mm: Temperature 31] ((C)),Time [z = 1.667 mm: Temperature 32] ((min)),Temperature [z = 1.667 mm: Temperature 32] ((C)),Time [z = 0.427 mm: Temperature 33] ((min)),Temperature [z = 0.427 mm: Temperature 33] ((C)),Time [z = 0.010 mm: Temperature 34] ((min)),Temperature [z = 0.010 mm: Temperature 34] ((C)),Time [z = 0.000 mm: Temperature 35] ((min)),Temperature [z = 0.000 mm: Temperature 35] ((C))
0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20
0.2554225,20.7859154,0.2554225,20.7821971,0.2554225,20.6331877,0.2554225,20.3266858,0.2554225,20.1121354,0.2554225,20.0343339,0.2554225,20.0095742,0.2554225,20.0024768,0.2554225,20.0006034,0.2554225,20.0001401,0.2554225,20.0000316,0.2554225,20.0000078,0.2554225,20.000006,0.2554225,20.0000216,0.2554225,20.0000974,0.2554225,20.0004324,0.2554225,20.0018424,0.2554225,20.0074459,0.2554225,20.0180596,0.2554225,20.0242125,0.2554225,20.0243907,0.2554225,20.0249393,0.2554225,20.0279919,0.2554225,20.0353109,0.2554225,20.047496,0.2554225,20.0658419,0.2554225,20.092177,0.2554225,20.1289293,0.2554225,20.1791894,0.2554225,20.2467567,0.2554225,20.3361519,0.2554225,20.4525821,0.2554225,20.6018471,0.2554225,20.73476,0.2554225,20.7846604,0.2554225,20.7859154
0.49082175,21.5102208,0.49082175,21.505017,0.49082175,21.286989,0.49082175,20.7898578,0.49082175,20.368621,0.49082175,20.158558,0.49082175,20.0631104,0.49082175,20.0233779,0.49082175,20.0081132,0.49082175,20.0026586,0.49082175,20.0008396,0.49082175,20.0003004,0.49082175,20.0002706,0.49082175,20.0007157,0.49082175,20.0023176,0.49082175,20.0073124,0.49082175,20.0218735,0.49082175,20.0615187,0.49082175,20.1199391,0.49082175,20.1493143,0.49082175,20.1501028,0.49082175,20.1522522,0.49082175,20.1628687,0.49082175,20.1862588,0.49082175,20.2223245,0.49082175,20.2725986,0.49082175,20.3390791,0.49082175,20.4242198,0.49082175,20.5309101,0.49082175,20.6624457,0.49082175,20.8224865,0.49082175,21.0150027,0.49082175,21.2442093,0.49082175,21.4379694,0.49082175,21.5084709,0.49082175,21.5102208
0.7215435,22.2201338,0.7215435,22.2138006,0.7215435,21.9430984,0.7215435,21.2958485,0.7215435,20.6975314,0.7215435,20.3533021,0.7215435,20.1684193,0.7215435,20.0756669,0.7215435,20.0321237,0.7215435,20.0129638,0.7215435,20.005116,0.7215435,20.002366,0.7215435,20.0023046,0.7215435,20.0049472,0.7215435,20.0128417,0.7215435,20.0328122,0.7215435,20.079874,0.7215435,20.1840003,0.7215435,20.3178606,0.7215435,20.3800878,0.7215435,20.3816953,0.7215435,20.3858029,0.7215435,20.4046843,0.7215435,20.4442207,0.7215435,20.5028638,0.7215435,20.5819875,0.7215435,20.6833254,0.7215435,20.8089522,0.7215435,20.9612586,0.7215435,21.1429205,0.7215435,21.3568618,0.7215435,21.6062125,0.7215435,21.8942609,0.7215435,22.1324982,0.7215435,22.2180232,0.7215435,22.2201338
0.99019025,23.0467392,0.99019025,23.0393039,0.99019025,22.7171208,0.99019025,21.9211635,0.99019025,21.1405537,0.99019025,20.6465637,0.99019025,20.349726,0.99019025,20.180503,0.99019025,20.0890345,0.99019025,20.0422918,0.99019025,20.0201251,0.99019025,20.0115005,0.99019025,20.0117586,0.99019025,20.0213272,0.99019025,20.0461109,0.99019025,20.0997386,0.99019025,20.2077806,0.99019025,20.4137602,0.99019025,20.6537856,0.99019025,20.759206,0.99019025,20.7618582,0.99019025,20.7683301,0.99019025,20.7964452,0.99019025,20.8529072,0.99019025,20.9341824,0.99019025,21.0414268,0.99019025,21.1760608,0.99019025,21.3397531,0.99019025,21.534401,0.99019025,21.7621057,0.99019025,22.0251445,0.99019025,22.3259398,0.99019025,22.6670251,0.99019025,22.9452732,0.99019025,23.0443043,0.99019025,23.0467392
1.243587,23.8264215,1.243587,23.8180793,1.243587,23.4534941,1.243587,22.5341331,1.243587,21.5989084,1.243587,20.9718389,1.243587,20.5685753,1.243587,20.3201751,1.243587,20.1739145,1.243587,20.0921343,1.243587,20.0499536,1.243587,20.0327658,1.243587,20.0342954,1.243587,20.0557706,1.243587,20.1065465,1.243587,20.2063006,1.243587,20.3886633,1.243587,20.7057791,1.243587,21.0533067,1.243587,21.2005829,1.243587,21.2042284,1.243587,21.2128706,1.243587,21.2490054,1.243587,21.3194441,1.243587,21.4187212,1.243587,21.5478187,1.243587,21.7079183,1.243587,21.9003889,1.243587,22.1267706,1.243587,22.3887563,1.243587,22.6881702,1.243587,23.0269447,1.243587,23.4070948,1.243587,23.7147827,1.243587,23.823748,1.243587,23.8264215
1.456337,24.4810369,1.456337,24.4720023,1.456337,24.0750321,1.456337,23.0610348,1.456337,22.0058081,1.456337,21.2727647,1.456337,20.781522,1.456337,20.4644838,1.456337,20.2680553,1.456337,20.1523435,1.456337,20.0898782,1.456337,20.0640231,1.456337,20.0677237,1.456337,20.1030971,1.456337,20.1821711,1.456337,20.3288318,1.456337,20.5817515,1.456337,20.9977329,1.456337,21.436729,1.456337,21.6186913,1.456337,21.6231509,1.456337,21.6335342,1.456337,21.6758764,1.456337,21.7567566,1.456337,21.8691098,1.456337,22.0137976,1.456337,22.1918402,1.456337,22.4044063,1.456337,22.6528003,1.456337,22.9384474,1.456337,23.2628768,1.456337,23.6277027,1.456337,24.0346049,1.456337,24.3624385,1.456337,24.4782002,1.456337,24.4810369
1.70915875,25.25895,1.70915875,25.2491569,1.70915875,24.8167012,1.70915875,23.698713,1.70915875,22.5105139,1.70915875,21.6579214,1.70915875,21.064818,1.70915875,20.6656759,1.70915875,20.4070009,1.70915875,20.2476729,1.70915875,20.1585145,1.70915875,20.1215531,1.70915875,20.1294518,1.70915875,20.1855037,1.70915875,20.3044118,1.70915875,20.513856,1.70915875,20.8565897,1.70915875,21.3925519,1.70915875,21.9389323,1.70915875,22.1608182,1.70915875,22.1662069,1.70915875,22.1785457,1.70915875,22.2276645,1.70915875,22.319606,1.70915875,22.4454686,1.70915875,22.6059965,1.70915875,22.802056,1.70915875,23.0346273,1.70915875,23.3047945,1.70915875,23.6137343,1.70915875,23.9627025,1.70915875,24.3530201,1.70915875,24.7860578,1.70915875,25.1335588,1.70915875,25.2559541,1.70915875,25.25895
1.9228805,25.9165554,1.9228805,25.9061641,1.9228805,25.4457108,1.9228805,24.2455105,1.9228805,22.9515643,1.9228805,22.0026986,1.9228805,21.3260782,1.9228805,20.8581159,1.9228805,20.546013,1.9228805,20.3484542,1.9228805,20.2356852,1.9228805,20.1893087,1.9228805,20.2021533,1.9228805,20.2785095,1.9228805,20.4348844,1.9228805,20.7012424,1.9228805,21.1224842,1.9228805,21.7597259,1.9228805,22.3945461,1.9228805,22.6488267,1.9228805,22.6549646,1.9228805,22.6688611,1.9228805,22.7232574,1.9228805,22.8236011,1.9228805,22.9595031,1.9228805,23.1316258,1.9228805,23.3407304,1.9228805,23.5876694,1.9228805,23.873379,1.9228805,24.1988694,1.9228805,24.5652146,1.9228805,24.9735406,1.9228805,25.4250132,1.9228805,25.7863773,1.9228805,25.9134472,1.9228805,25.9165554
2.17627725,26.6962377,2.17627725,26.6851803,2.17627725,26.1935498,2.17627725,24.9016658,2.17627725,23.4892764,2.17627725,22.4315891,2.17627725,21.6593441,2.17627725,21.111369,2.17627725,20.7361749,2.17627725,20.4929293,2.17627725,20.3519531,2.17627725,20.2949646,2.17627725,20.3153122,2.17627725,20.4183878,2.17627725,20.6223067,2.17627725,20.9587946,2.17627725,21.4740663,2.17627725,22.2293471,2.17627725,22.9652551,2.17627725,23.2561273,2.17627725,23.2631073,2.17627725,23.2787374,2.17627725,23.3388989,2.17627725,23.4482254,2.17627725,23.5946506,2.17627725,23.7787571,2.17627725,24.0012048,2.17627725,24.2627248,2.17627725,24.5641133,2.17627725,24.9062242,2.17627725,25.2899609,2.17627725,25.7162671,2.17627725,26.1861175,2.17627725,26.5612919,2.17627725,26.6930177,2.17627725,26.6962377
