Time ((min)),Degree of Cure [z = 49.990 mm: Degree of Cure],Degree of Cure [z = 49.521 mm: Degree of Cure 1],Degree of Cure [z = 48.125 mm: Degree of Cure 2],Degree of Cure [z = 46.250 mm: Degree of Cure 3],Degree of Cure [z = 44.375 mm: Degree of Cure 4],Degree of Cure [z = 42.500 mm: Degree of Cure 5],Degree of Cure [z = 40.625 mm: Degree of Cure 6],Degree of Cure [z = 38.750 mm: Degree of Cure 7],Degree of Cure [z = 36.875 mm: Degree of Cure 8],Degree of Cure [z = 35.000 mm: Degree of Cure 9],Degree of Cure [z = 33.125 mm: Degree of Cure 10],Degree of Cure [z = 31.250 mm: Degree of Cure 11],Degree of Cure [z = 29.375 mm: Degree of Cure 12],Degree of Cure [z = 27.500 mm: Degree of Cure 13],Degree of Cure [z = 25.625 mm: Degree of Cure 14],Degree of Cure [z = 23.750 mm: Degree of Cure 15],Degree of Cure [z = 21.875 mm: Degree of Cure 16],Degree of Cure [z = 20.479 mm: Degree of Cure 17],Degree of Cure [z = 20.010 mm: Degree of Cure 18]
0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.2554225,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
0.49082175,0.050000003,0.050000002,0.050000002,0.050000002,0.050000002,0.050000002,0.050000002,0.050000002,0.050000002,0.050000002,0.050000002,0.050000002,0.050000002,0.050000002,0.050000002,0.050000002,0.050000002,0.050000002,0.050000002
0.7215435,0.050000004,0.050000004,0.050000003,0.050000003,0.050000003,0.050000003,0.050000003,0.050000003,0.050000003,0.050000003,0.050000003,0.050000003,0.050000003,0.050000003,0.050000003,0.050000003,0.050000003,0.050000003,0.050000003
0.99019025,0.050000007,0.050000006,0.050000005,0.050000004,0.050000004,0.050000004,0.050000004,0.050000004,0.050000004,0.050000004,0.050000004,0.050000004,0.050000004,0.050000004,0.050000004,0.050000004,0.050000004,0.050000004,0.050000004
1.243587,0.05000001,0.050000009,0.050000007,0.050000006,0.050000005,0.050000005,0.050000005,0.050000005,0.050000005,0.050000005,0.050000005,0.050000005,0.050000005,0.050000005,0.050000005,0.050000005,0.050000005,0.050000005,0.050000006
1.456337,0.050000013,0.050000012,0.050000009,0.050000008,0.050000007,0.050000006,0.050000006,0.050000006,0.050000006,0.050000006,0.050000006,0.050000006,0.050000006,0.050000006,0.050000006,0.050000006,0.050000006,0.050000007,0.050000007
1.70915875,0.050000018,0.050000016,0.050000012,0.05000001,0.050000008,0.050000007,0.050000007,0.050000007,0.050000007,0.050000007,0.050000007,0.050000007,0.050000007,0.050000007,0.050000007,0.050000007,0.050000008,0.050000008,0.050000009
1.9228805,0.050000023,0.050000021,0.050000015,0.050000012,0.05000001,0.050000009,0.050000008,0.050000008,0.050000008,0.050000007,0.050000007,0.050000007,0.050000008,0.050000008,0.050000008,0.050000008,0.050000009,0.05000001,0.05000001
2.17627725,0.050000031,0.050000027,0.05000002,0.050000014,0.050000012,0.05000001,0.050000009,0.050000009,0.050000009,0.050000009,0.050000008,0.050000008,0.050000009,0.050000009,0.050000009,0.05000001,0.050000011,0.050000012,0.050000013
